Event	Start Gregorian Year	End Gregorian Year	Start Gregorian Date	End Gregorian Date	Start Hebrew Year	End Hebrew Year	Start Hebrew Date	End Hebrew Date
Treaty of Versailles formally ends World War I	1919		6/28		5679		30 Sivan	
American Jewish Congress is founded	1918		12/18		5679		15 Tevet	
The German Workers' Party (DAP) is founded in Munich	1919		1/5		5679		4 Shvat	
First Palestinian National Congress meeting rejects Balfour Declaration and demands independence	1919	1919	1/27	2/10	5679	5679	26 Shvat	10 Adar I
Beginning of Third Aliyah to Palestine, mainly from Russia	1919		12/19		5680		27 Kislev	
Balfour Declaration	1917		11/2		5678		17 Cheshvan	
Faisal-Weizmann Agreement	1919		1/3		5679		2 Shvat	
League of Nations is founded	1920		1/10		5680		19 Tevet	
Histadrut (Jewish Labor Federation) is founded	1920		12/12		5681		1 Tevet	
Haganah (Jewish Defense Organization) is founded	1920		6/12		5680		26 Sivan	
Henry Ford's newspaper, The Dearborn Independent, begins publishing anti-Semetic propaganda	1920		5/22		5680		5 Sivan	
The first mass meeting of the National Socialist Party (NSDAP) in Munich	1920		2/24		5680		5 Adar	
Adolf Hitler is honorably discharged from the German Army	1920		4/1		5680		13 Nisan	
The San Remo Conference	1920	1920	4/19	4/26	5680	5680	1 Iyyar	8 Iyyar
Second Palestinian National Congress meeting rejects San Remo Conference decision	1920		5/31		5680		14 Sivan	
Third Palestinian National Congress meeting called for Palestine to be independent Arab state	1920		12/4		5681		23 Kislev	
The Times of London pronounces the Protocols of the Elders of Zion a forgery	1921	1921	8/16	8/18	5681	5681	12 Av	14 Av
Emergency Immigration Act of 1921 effectively exclude Eastern European Jewish immigrants	1921		5/19		5681		11 Iyyar	
Forth Palestinian National Congress meeting decides to send delegation to London	1921		6/25		5681		19 Sivan	
Adolf Hitler becomes the Nazi Party's first chairman with dictatorial powers	1921		7/29		5681		23 Tamuz	
Kingdom of Iraq is founded	1921		8/23		5681		19 Av	
First moshav, Nahalal, founded in the Jezreel Valley	1921		9/11		5681		8 Elul	
Establishment of the chief Rabbinate of Israel	1921		2/24		5681		16 Adar I	
Britain is granted Mandate for Palestine by League of Nations	1922		7/24		5682		28 Tamuz	
President Harding signed the joint resolution of approval to establish Jewish National Home in Palestine	1922		9/21		5682		28 Elul	
Benito Mussolini establishes a Fascist government in Italy	1919		3/23		5679		21 Adar II	
League of Nations Council approves Mandate for Palestine	1922		7/24		5682		28 Tamuz	
Fifth Palestinian National Congress agrees to economic boycott of Zionists	1922		8/22		5682		28 Av	
The SS is established	1925		4/4		5685		10 Nisan	
Overthrow of Ottomon Muslim rule and establishment of secular state in Turkey	1923		10/29		5684		19 Cheshvan	
Sixth Palestinian National Congress agrees to send another delegation to London	1923	1923	6/16	6/20	5683	5683	2 Tamuz	6 Tamuz
Beer Hall Putsch leads to Hitler's arrest	1923	1923	11/8	11/11	5684	5684	29 Cheshvan	3 Kislev
Technion founded in Haifa	1912		4/11		5672		24 Nisan	
Turkish Caliphate officially abolished	1924		3/3		5684		27 Adar I	
The first conference of the General Zionist Movement is held in Jerusalem	1924		5/11		5684		7 Iyyar	
Ultra-Orthodox Jews found agricultural settlement Bnei-Brak	1924		5/14		5684		10 Iyyar	
U.S. Immigration Restriction Act effectively bans immigration from Asia and Eastern Europe	1924		5/26		5684		22 Iyyar	
Hitler publishes Mein Kampf	1925		7/18		5685		26 Tamuz	
Hebrew University of Jerusalem opened on Mt. Scopus	1925		4/1		5685		7 Nisan	
Publication of pro-Nazi, anti-Semitic newspaper Der Sturmer resumes	1925		3/24		5685		28 Adar	
Paul von Hindenburg is elected president of Germany	1925		4/26		5685		2 Iyyar	
France proclaims Republic of Lebanon	1926		5/23		5686		10 Sivan	
Warner Brothers releases The Jazz Singer	1927		10/6		5688		10 Tishrei	
Britain recognizes independence of Transjordan	1928		2/20		5688		29 Shvat	
Seventh Palestinian National Congress establishes a new forty-eight member executive committee	1928		6/20		5688		2 Tamuz	
2,000 Arabs attack Jews praying at the Kotel on the 9th of Av	1929		8/14		5689		8 Av	
Hebron Jews massacred by Arab militants	1929		8/23		5689		17 Av	
Hope-Simpson report recommends an end to all Jewish immigration to Eretz-Yisrael	1930	1930	10/1	10/21	5691	5691	9 Tishrei	29 Tishrei
Passfield White Pare bans further land acquisition by Jews and slows Jewish immigration	1930		10/20		5691		28 Tishrei	
Jewish underground organization, Etzel (the Irgun), is founded	1931		4/10		5691		23 Nisan	
The Kingdom of Suadi Arabia is proclaimed	1932		9/23		5692		22 Elul	
Iraq gains independence as British Mandate over Iraq is terminated	1932		10/3		5693		3 Tishrei	
First oil well in the Arabian side of the Persian Gulf is created in Bahrain	1932		6/2		5692		27 Iyyar	
New York's first Jewish governer is elected, forming a pact between Jews and the Democratic Party	1933		1/1		5693		3 Tevet	
First Maccabia athletic games take place with representatives from 14 countries	1932	1932	3/28	4/2	5692	5692	20 Adar II	25 Adar II
Adolf Hitler is named chancellor of Germany	1933		1/30		5693		3 Shvat	
Concession agreement signed between Saudi government and Standard Oil of California (SOCAL)	1933		5/23		5693		27 Iyyar	
American Jewish Congress declares a boycott on German goods to protest Naxi persecution of Jews	1933		3/1		5693		3 Adar	
Assassination of Zionist leader Chaim Arlozorov	1933		6/16		5693		22 Sivan	
Germany begins anti-Jewish boycott	1933		4/1		5693		5 Nisan	
Detroit Tigers' Hank Greenberg refuses to play ball on Yom Kippur	1934		9/19		5695		10 Tishrei	
Jewish rights in Germany are rescinded by Nuremberg Laws	1935		9/15		5695		17 Elul	
First (Reform) woman rabbi is ordained in Germany	1935		12/27		5696		1 Tevet	
Syria ratifies the Franco-Syrian treaty in which France grants Syria and Lebanon independence	1936		9/27		5697		11 Tishrei	
Battle of Cable Street takes place in London	1936		10/4		5697		18 Tishrei	
The Peel Commission recommends the partition of Palestine between Jews and Arabs	1937		7/7		5697		28 Tamuz	
Partition plan is accepted despite fierce opposition at the 20th Zionist Congress	1937		8/20		5697		13 Elul	
Saudi Arabian oil is first discovered in commercial quantities at Dammam oil well No. 7	1938		3/3		5698		30 Adar I	
Oil is discovered in Kuwait	1938		2/22		5698		21 Adar I	
Kristallnacht - German Jewish synagogues burned down	1938		11/9		5699		15 Cheshvan	
Charles E. Coughlin, a Roman Catholic priest, launches media campaign in America against Jews	1938		11/20		5699		26 Cheshvan	
The Evian Conference convenes to discuss Jewish refugee problem 	1938	1938	7/6	7/15	5698	5698	7 Tamuz	16 Tamuz
The Munich Agreement allows Hitler to annex portions of Czechoslovakia	1938		9/29		5699		4 Tishrei	
Catholic churches ring bells and fly Nazi flags to welcome Hitler's troops in Austria	1938		3/12		5698		9 Adar II	
President Roosevelt appoint Zionist and Jewish activist Felix Frankfurter to the Supreme Court	1939		1/20		5699		29 Tevet	
Jewish iimigration severly limited by British White Paper	1939		5/23		5699		5 Sivan	
S.S. St. Louis returns to Europe after being turned back by Cuba and the U.S.	1939		6/17		5699		30 Sivan	
